gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2021032715,3.977252036740389,3.181670817151546,4.811542439389511,1.217189379923563,3.9687809992682825,3.174894265787181,4.8012944702072256,0.035357213581715285,0.03503757023244436,0.032584940316173254,0.011121932787492739,0.010965298303869275,0.010197727422598425,0.07356321898862905,0.07300630899420657,0.0678958673646121
2021032716,4.007982685284815,2.95737415907926,4.741493857318851,1.2112189972076677,3.9928963046781356,2.946242356458447,4.723646479574837,0.03652773431182155,0.03595095487027411,0.03343438802935492,0.006273899741329636,0.0060469892411303405,0.005623699994251216,0.0698038449445244,0.06886356943009897,0.06404311956999204
2021032717,4.1790052305749565,2.8211578502552297,5.48817883022182,1.2052486144917722,4.156423249651499,2.805913233596121,5.458522502265623,0.04335692668137625,0.042424378281277875,0.03945467180158842,0.003519777478143915,0.0032095824347200264,0.0029849116642896244,0.1159841201316576,0.11387918440857447,0.10590764149997425
2021032718,5.259295759547754,2.836325333416073,5.801852545595513,1.199278231775877,5.222224625321507,2.816332961442413,5.760957097932543,0.10033999325559506,0.09793448293658624,0.0910790691310252,0.0038270535524240756,0.0034217679607237983,0.0031822442034731323,0.13970418989400013,0.1364590744763703,0.12690693926302435
2021032719,6.10631699753006,3.4890378982705723,5.6986366853469566,1.1979369371260014,6.061014205790449,3.4631527112845553,5.656358475574945,0.1653318826854413,0.16135314054002503,0.15005842070222328,0.019084227636438023,0.01834585032878966,0.01706164080577438,0.1316024993938072,0.12836843905899187,0.11938264832486242
2021032720,5.121953372254334,3.493869877625835,4.278665683577051,1.1965956424761257,5.0820554188682285,3.4666540387879112,4.2453366015665,0.091602941030831,0.08915372242912678,0.0829129618590879,0.019223469611285182,0.018444981892800527,0.01715383316030449,0.047586343626821126,0.04615112087475115,0.042920542413518566
2021032721,5.341412360186908,2.7046311040653275,4.134804305819217,1.1952543478262498,5.297823940394142,2.6825600509432563,4.101062371347662,0.10579470078019693,0.10287751340510454,0.09567608746674722,0.0,0.0,0.0,0.041540440119098854,0.04017803204758241,0.03736556980425164
2021032722,4.124026818498548,1.606556807700361,4.399752481466967,1.1994808471739369,4.095188439049744,1.5953225221669343,4.368986015310097,0.0411029986222724,0.03994299517855726,0.03714698551605825,0.0,0.0,0.0,0.052979945976035836,0.05158253077868835,0.047971753624180165
2021032723,4.123510123868246,0.3229572672969246,4.225373522304011,1.2037073465216237,4.09947906235634,0.32107513151381933,4.200748819568951,0.04108208050717099,0.04011461596544841,0.03730659284786702,0.0,0.0,0.0,0.04530151080402778,0.044263806766692504,0.04116534029302402
2021032800,3.3120212059074543,1.5388270080757782,2.980365044482349,1.2079338458693107,3.2965686884648244,1.5316474794118107,2.9664598971502234,0.014287438404307018,0.01389644584581795,0.012923694636610694,0.0,0.0,0.0,0.0067452160245125015,0.006459699820396736,0.006007520832968964
